onset	duration	trial_type	response_time	sample	value
20694.00	4000.00	elbow	n/a	20694.00	2.00
28744.00	4000.00	hand	n/a	28744.00	1.00
36811.00	4000.00	elbow	n/a	36811.00	2.00
44861.00	4000.00	hand	n/a	44861.00	1.00
52911.00	4000.00	elbow	n/a	52911.00	2.00
60977.00	4000.00	elbow	n/a	60977.00	2.00
69027.00	4000.00	hand	n/a	69027.00	1.00
77077.00	4000.00	elbow	n/a	77077.00	2.00
85144.00	4000.00	elbow	n/a	85144.00	2.00
93193.00	4000.00	elbow	n/a	93193.00	2.00
101243.00	4000.00	hand	n/a	101243.00	1.00
109310.00	4000.00	elbow	n/a	109310.00	2.00
117360.00	4000.00	hand	n/a	117360.00	1.00
125410.00	4000.00	hand	n/a	125410.00	1.00
133476.00	4000.00	hand	n/a	133476.00	1.00
141526.00	4000.00	elbow	n/a	141526.00	2.00
149576.00	4000.00	hand	n/a	149576.00	1.00
157643.00	4000.00	elbow	n/a	157643.00	2.00
165693.00	4000.00	hand	n/a	165693.00	1.00
173742.00	4000.00	hand	n/a	173742.00	1.00
181809.00	4000.00	elbow	n/a	181809.00	2.00
189859.00	4000.00	hand	n/a	189859.00	1.00
197909.00	4000.00	elbow	n/a	197909.00	2.00
205975.00	4000.00	elbow	n/a	205975.00	2.00
214025.00	4000.00	hand	n/a	214025.00	1.00
222075.00	4000.00	hand	n/a	222075.00	1.00
230142.00	4000.00	hand	n/a	230142.00	1.00
238192.00	4000.00	hand	n/a	238192.00	1.00
246242.00	4000.00	hand	n/a	246242.00	1.00
254308.00	4000.00	elbow	n/a	254308.00	2.00
262358.00	4000.00	elbow	n/a	262358.00	2.00
270408.00	4000.00	elbow	n/a	270408.00	2.00
278474.00	4000.00	elbow	n/a	278474.00	2.00
286524.00	4000.00	elbow	n/a	286524.00	2.00
294574.00	4000.00	hand	n/a	294574.00	1.00
302641.00	4000.00	elbow	n/a	302641.00	2.00
310691.00	4000.00	hand	n/a	310691.00	1.00
318741.00	4000.00	elbow	n/a	318741.00	2.00
326807.00	4000.00	hand	n/a	326807.00	1.00
334857.00	4000.00	hand	n/a	334857.00	1.00
